Key	English	Russian
literal.1cda38d493fe12f9	Output full	Склад продукции заполнен
literal.53ced57ff5987da4	Working	Работает
literal.f167bb554c04056a	Needs input	Нужны материалы
literal.b0e22a866a45ba52	State	Состояние
literal.59db72899d896292	Output	Продукция
literal.a30912be12241c9a	No worker assigned	Работник не назначен
literal.297914a2c6e13880	Assign this profession in the Professions HUD.	Назначьте работника этой профессии в окне «Профессии».
literal.96579c12ff962698	Output storage full	Склад продукции заполнен
literal.4f7c843de765002a	Haulers need to collect finished goods.	Носильщики должны забрать готовую продукцию.
literal.6450ce0270830e20	Waiting for inputs	Ожидание материалов
literal.75a4a118021f996c	Required materials must be delivered before work continues.	Для продолжения работы нужно доставить необходимые материалы.
literal.3e38a0b84fa980d2	Production active	Производство работает
literal.4fdde8a1fd3b4521	Inputs are available and output storage has room.	Материалы в наличии, а на складе продукции есть место.
literal.a0c33ded0cb43e38	Input material	Входной материал
literal.25d3b5cc262b1e98	Finished output	Готовая продукция
literal.7d557a7612331d90	Workers	Работники
literal.6aa69f30bee21e95	Stock	Запасы
literal.3d89f897590bde56	Stock full	Склад заполнен
literal.c1fb972f6cfde9e2	No sources	Нет источников
literal.2c736d1115de6eb3	Haulers need to clear the local stock.	Носильщики должны освободить местный склад.
literal.05ba517b6b8b2af2	No usable sources are currently in the work area.	В рабочей зоне сейчас нет доступных источников.
literal.b82a4de5c338a818	Workers have sources available and local storage space.	У работников есть доступные источники и место на местном складе.
literal.eb2fef50f10e27bf	Builders	Строители
literal.a63caf02aa741a8d	Materials	Материалы
literal.848466c0500e6090	Progress	Прогресс
literal.8395712ea952ca59	Delivered Materials	Доставленные материалы
literal.d4133ac8949884b7	Assigned Builders	Назначенные строители
literal.6b953c50364207b4	Materials are ready and builders can finish the structure.	Материалы готовы, строители могут завершить постройку.
literal.99423c2b73b20e51	Materials are ready. Assign Builders in the Professions HUD.	Материалы готовы. Назначьте строителей в окне «Профессии».
literal.ac837f195d25051b	Ready to build	Готово к строительству
literal.49ca459ab58e445d	Waiting for materials	Ожидание материалов
literal.ae61b8ba6c3792b8	Residents	Жители
literal.14c213946a21244a	Home	Дом
literal.4ac29ac49acabd6f	Occupied	Занято
literal.9654091504369afc	Available	Доступно
literal.7e0f4e6b297518ed	Sheltered	Под крышей
literal.f48657b5eeafe540	Warmth	Тепло
literal.0013a19764c8dc22	Demolition queued	Снос запланирован
literal.7815181da8ab1d8d	Residents and household stock will be detached safely.	Жители и домашние запасы будут перемещены без потерь.
literal.b03b84ed6529f2d0	Scouts	Разведчики
literal.cfc0f25523d1ac99	Mission	Задание
literal.eca1d322cdece47e	Unassigned	Не назначен
literal.3ae9e54ef2929207	Provisions	Провизия
literal.22dea0bb15021744	Expedition	Экспедиция
literal.fe78b2110f657d0b	Current state	Текущее состояние
literal.dd409062dc278fd7	Planned duration	Плановая длительность
literal.e2ac176e0e7dcd8b	Returns in	До возвращения
literal.e5b1de87b5b19e4b	Field rations	Походные пайки
literal.b7cb0562ffea5147	Exploration ready	Готово к разведке
literal.debd17cc1e22b8c8	Scout needed	Нужен разведчик
literal.b349a9d8668e7397	Use the Scout action above to send, recall or review the expedition.	Используйте действие разведчика выше, чтобы отправить, отозвать или проверить экспедицию.
literal.cbf18f39fc9bc72c	Assign a Scout here; ordinary professions remain managed separately.	Назначьте сюда разведчика; остальные профессии управляются отдельно.
literal.84851ed00d63bd0f	Unavailable	Недоступно
literal.998f1c5a49a50e7d	Caravan	Караван
literal.dd5e5525e6279441	Trade controller is unavailable.	Торговая система недоступна.
literal.81a5c67c2237336d	Coins	Монеты
literal.175a3f34ff0c4d71	Market	Рынок
literal.5b9780f550a289a2	Active offers	Активные предложения
literal.66bcf5776c6c0272	Available now	Доступно сейчас
literal.05a25474fa570360	Available when a caravan is trading	Доступно во время торговли с караваном
literal.0fdc9a32d6103669	Delivered	Доставлено
literal.a966efc5a9fb784b	Builders can continue with the delivered materials.	Строители могут продолжить работу с доставленными материалами.
literal.5bed80b5fa91b5eb	Game	Дичь
literal.3449c7d814a04799	Fish	Рыба
literal.bab16278ed17d003	Eggs	Яйца
literal.a20dfa69b7ecee75	Berries	Ягоды
literal.d3acdbef14718038	Roots	Коренья
literal.cceb795c71eb1ee2	Mushrooms	Грибы
literal.64dc4d8762445052	Logs	Брёвна
literal.8c31635a6f54d546	Stone	Камень
literal.3bf9295122a56516	Planks	Доски
literal.12c6655e78b446df	Iron	Железо
literal.e88204bb6ac0ae0c	Coal	Уголь
literal.05aea0e97715c1aa	Clay	Глина
literal.80c51e53724cc84c	Pottery	Керамика
literal.5bb6cfe35bc5a3c6	Tools	Инструменты
literal.8164720afc207836	Deposits	Месторождения
literal.a217703a5a4dc950	Local Stock	Местные запасы
literal.ee627db75931d18b	Work Area	Рабочая зона
literal.bd97b3195c14c912	Mature trees	Взрослые деревья
literal.3c408f2068cb4dc8	Trunks	Стволы
literal.150b897adc958c58	Saplings	Саженцы
literal.1a32f215b7a80124	Hunting Grounds	Охотничьи угодья
literal.321cea20dfd0ae50	Rabbits	Кролики
literal.5b8884def4433cdb	Deer	Олени
literal.83783797b59b377f	Locked	Заблокировано
literal.4f2b7eb3b17a984c	Requires Deer Hunting Kit	Требуется набор для охоты на оленей
literal.fc102a3018b01c6f	Frozen	Замёрзло
literal.9e9d2ed17305a3dc	Fishing Water	Рыбные воды
literal.891bbc387d15ff72	Fish nearby	Рыба поблизости
literal.53ba7343e95ee700	Water	Вода
literal.9e13b2a403af4221	Open	Открыто
literal.8b9c47e843f1be2a	Fishing is blocked until the water thaws.	Рыбалка невозможна, пока вода не оттает.
literal.4e7d7a63ddba30a0	Gathering	Собирает
literal.bb89a4c6e45467cd	Forage Stock	Запасы собранной пищи
literal.c7a047708237bf29	Ration value	Ценность пайков
literal.feaaba9d207f37b1	Assign Foragers in the Professions HUD.	Назначьте собирателей в окне «Профессии».
literal.de98fddf4a59c4ba	Nearby food is gathered into local stock for Haulers.	Собранная поблизости пища складывается на местный склад для носильщиков.
literal.21d404baae05ab3f	Labor	Труд
literal.78033358ac9cbad7	Autonomous	Автономно
literal.e503c2a6fb5c8752	Producing	Производит
literal.ebf2c6100de9f6c6	Production	Производство
literal.6013baf278abc01f	Next egg	Следующее яйцо
literal.96e5b9371931bad0	Automatic cycle	Автоматический цикл
literal.65a910d2dcfa60c0	Waiting for free storage	Ожидание места на складе
literal.e76f3fefec94694b	Automatic production	Автоматическое производство
literal.a700df76c5283329	Local stock is full	Местный склад заполнен
literal.1c1099cdd6e04328	Eggs are produced without an assigned worker.	Яйца производятся без назначенного работника.
literal.00aad27b226d1a0e	Haulers need to collect eggs before production continues.	Для продолжения производства носильщики должны забрать яйца.
literal.c9bc949b2c438903	Input	Материалы
literal.8e3a6f46409833c1	Haulers	Носильщики
literal.ea8d1cc2163a5b73	Sources	Источники
literal.852354c42d8d6140	Construction Stock	Строительные запасы
literal.2b13c39351de16e0	No Haulers assigned	Носильщики не назначены
literal.c06f6547257c9b95	Ready for hauling	Готово к перевозке
literal.48ecc7039f120fa2	Logistics idle	Логистика бездействует
literal.638b25332ccca41f	Assign Haulers in the Professions HUD to move resources.	Назначьте носильщиков в окне «Профессии», чтобы перевозить ресурсы.
literal.24daf468921828cd	No source stock is currently waiting for pickup.	На складах-источниках сейчас нет запасов для вывоза.
literal.4f258158baf3bff1	Rations	Пайки
literal.8b84bc38d9fb5167	Food Stock	Запасы еды
literal.f5a3ccb26f6a10fd	Food storage ready	Хранилище еды готово
literal.bda068ea155e7c34	Assign Haulers in the Professions HUD.	Назначьте носильщиков в окне «Профессии».
literal.90c78baa00592770	Food is waiting at production sources.	Еда ожидает вывоза из мест производства.
literal.30c9cdc86e4348e8	Stored food is ready for households.	Еда на складе готова к доставке в дома.
literal.4a074f04472a61c6	Temporary	Временно
literal.8e60827b2a137ceb	Build stock	Запасы для строительства
literal.2d8f9287bcde6fb7	Starter supplies	Начальные припасы
literal.ce18c728afcf1150	Construction materials and food remain available until transferred.	Строительные материалы и еда останутся доступными до перевозки.
literal.f4e685df3e3c4845	Operational	Работает
literal.23a6fd4ceb6193b9	Span	Пролёт
literal.fcdd270ed1055ece	Footprint	Площадь
literal.696c6b589cb06a32	Infrastructure	Инфраструктура
literal.0a15f2b1dc88869b	Start cell	Начальная клетка
literal.b0be0729072560c4	End cell	Конечная клетка
literal.00e21542efcdab9f	Crossing open	Переход открыт
literal.932f252fa7d6ac2b	Residents can use this span as part of the walkable network.	Жители могут пользоваться этим пролётом как частью сети дорог.
literal.55f5f249216e4446	Overview	Обзор
literal.961c9c36dce07d8f	Demolition	Снос
literal.e7ab733ffb9e3380	Queued	В очереди
literal.619c7bca8056a354	The building remains visible until the demolition flow completes.	Здание останется видимым до завершения сноса.
literal.04ef462ccaa908a9	Trade, Scout and upgrade actions are unavailable while removal is pending.	Торговля, действия разведчика и улучшения недоступны до завершения сноса.
literal.6785569b0f501a69	Rabbit Carcass	Туша кролика
literal.32eb8284609fd5a3	Rabbit	Кролик
literal.0558fc216c2413fd	Wildlife	Дикая природа
literal.7f1e22a7ee306b58	Huntable	Можно охотиться
literal.79f8bfc501c4be27	Protected	Защищено
literal.3275a83b3f5e9d02	Group	Группа
literal.bc00b4026ce833b5	Radius	Радиус
literal.b57f60408b785d7c	Stag	Олень
literal.a8be05f13f6858ab	Doe	Олениха
literal.4e9a28f7f6824ed1	Wolf prey	Добыча волков
literal.d73630169eefe424	Safe	В безопасности
literal.96bfdd50f8a236c6	Herd	Стадо
literal.d18b8c9ff3ac3247	River wildlife	Речная фауна
literal.c034063be1e219fe	Lake wildlife	Озёрная фауна
literal.8b52b67dc9ffc90b	Fishable	Можно ловить
literal.d0a3b2f2cb061401	Stage	Стадия
literal.5091f76be93d9ed4	Shoal	Косяк
literal.60675cafe6a1051d	Region	Область
literal.7b5b210f39f1d8af	none	нет
literal.d65054b9dca630cd	Decorative wildlife	Декоративная фауна
literal.60c772e90c81b53f	Wolf	Волк
literal.224068553bca4326	Predator wildlife	Хищная фауна
literal.ed1f90542cec01bc	Pack	Стая
literal.437bb9e0c51a1574	Chicken	Курица
literal.0f00b9a2e84895b0	Household animal	Домашнее животное
literal.a6fec53020a75b3e	Coop	Курятник
literal.4ccb8d8b1792170e	Stone deposit	Месторождение камня
literal.08da8c9a39cac790	depleted	истощено
literal.9ced2404ef66d891	reserved	зарезервировано
literal.1bc555df5377ef05	blocked	заблокировано
literal.6be2075d5169095b	Iron Vein	Железная жила
literal.b1f5c7e82ca84c9f	Iron-stained Ground	Железистая почва
literal.bbd38d3966c35277	Iron deposit	Месторождение железа
literal.a6f538b19dba9e08	mineable	можно добывать
literal.3859d92e3b98afb9	free	свободно
literal.36a14d89810d4c56	Mine only	Только для шахты
literal.5bcef1dabb23b746	Coal Seam	Угольный пласт
literal.4589bcd2ed125bff	Coal Dust Ground	Почва с угольной пылью
literal.80c16f0d2cdec574	Coal deposit	Месторождение угля
literal.046c64b3aa0c2045	Coal Pit only	Только для угольной ямы
literal.486e1aa9225b6dec	Clay Bank	Глиняный откос
literal.e61ac15f948bd654	Clay Patch	Глиняный участок
literal.39256c6268edc2d2	Clay deposit	Месторождение глины
literal.8a42769fe7796f49	logs ready	брёвна готовы
literal.752e3ece2329f48a	falling	падает
literal.a391ffdf832f905f	felled	срублено
literal.363eaff49616b479	standing	растёт
literal.58ede344e6a3cd00	growing	подрастает
literal.630f3a5568423d4b	Tree	Дерево
literal.c052c82c9ee50139	Young Tree	Молодое дерево
literal.ca33ae1e1ec5298e	Forest resource	Лесной ресурс
literal.c3d775f974813383	not ready	не готово
literal.bd532a32484c2bd7	regrowing	восстанавливается
literal.f0fd1910771d930d	Forage node	Место сбора пищи
literal.2fe41c7f32ce3597	Resource	Ресурс
literal.8aacdc591664a0b0	Yield	Запас
literal.58fd0a592984b44e	Use	Назначение
literal.0776035e02baea94	household food	пища для жителей
literal.95e977692941d27d	Loose resource	Ресурс на земле
literal.d7fd18cce6702659	Amount	Количество
literal.9327fc29bb418a51	Loose Building Materials	Строительные материалы на земле
literal.c8605fad2782d54a	Construction resource pile	Куча строительных материалов
literal.42bad25b82fd6b25	Walk/Build	Проход/стройка
literal.5b6706dd0c7a1482	yes	да
literal.0dbfd5bc6af73d4c	no	нет
literal.de16476c444acceb	Sapling	Саженец
literal.02d9fa5c043fa19f	Young	Молодое
literal.901429da2c969797	Mature	Взрослое
literal.81571fa727402c2a	Rock Cluster	Скопление камней
literal.c54c368d93c3efa0	Stone Cliff	Каменный утёс
literal.c5f5496c0cb3e752	Boulder	Валун
literal.44d3f7a329cadc49	Turnip	Репа
literal.5a09c380f10f91c4	Cabbage	Капуста
literal.2d966155a1db3814	Onion	Лук
literal.025cc630a9651af4	Carrot	Морковь
literal.14ebba4fb71cfc4c	Potato	Картофель
literal.43d1530d2128679d	Unknown	Неизвестно
