Key	English	Russian
hud.selection.action.add	Add	Добавить
hud.selection.action.assign	Assign	Назначить
hud.selection.action.buy	Buy	Купить
hud.selection.action.done	Done	Готово
hud.selection.action.install	Install	Установить
hud.selection.action.no	Unavailable	Недоступно
hud.selection.action.recall	Recall	Отозвать
hud.selection.action.remove	Remove	Снять
hud.selection.action.sell	Sell	Продать
hud.selection.action.send	Send	Отправить
hud.selection.label.active_offers	ACTIVE OFFERS	АКТИВНЫЕ ПРЕДЛОЖЕНИЯ
hud.selection.label.amount	Amount	Количество
hud.selection.label.attack_points	Attack Points	Очки атаки
hud.selection.label.build_stock	Building materials	Стройматериалы
hud.selection.label.builders	Builders	Строители
hud.selection.label.caravan	Caravan	Караван
hud.selection.label.coins	Coins	Монеты
hud.selection.label.coop	Coop	Курятник
hud.selection.label.current_state	Current state	Текущее состояние
hud.selection.label.deer	Deer	Олени
hud.selection.label.deposits	Deposits	Месторождения
hud.selection.label.end_cell	End cell	Конечная клетка
hud.selection.label.family	Family	Семья
hud.selection.label.field_rations	Field rations	Походные припасы
hud.selection.label.fish_nearby	Fish nearby	Рыба поблизости
hud.selection.label.food	Food	Еда
hud.selection.label.footprint	Footprint	Размер
hud.selection.label.group	Group	Группа
hud.selection.label.haulers	Haulers	Грузчики
hud.selection.label.health	Health	Здоровье
hud.selection.label.herd	Herd	Стадо
hud.selection.label.home	Home	Дом
hud.selection.label.id	ID	ID
hud.selection.label.labor	Labor	Работа
hud.selection.label.materials	Materials	Материалы
hud.selection.label.mature_trees	Mature trees	Взрослые деревья
hud.selection.label.mission	Mission	Задание
hud.selection.label.next_egg	Next egg	Следующее яйцо
hud.selection.label.output	Output	Продукция
hud.selection.label.pack	Pack	Стая
hud.selection.label.planned_duration	Planned duration	Плановая длительность
hud.selection.label.progress	Progress	Прогресс
hud.selection.label.provisions	Provisions	Припасы
hud.selection.label.rabbits	Rabbits	Кролики
hud.selection.label.radius	Radius	Радиус
hud.selection.label.ration_value	Ration value	Пищевая ценность
hud.selection.label.rations	Rations	Рационы
hud.selection.label.region	Region	Область
hud.selection.label.reserved	Reserved	Зарезервировано
hud.selection.label.residents	Residents	Жители
hud.selection.label.resource	Resource	Ресурс
hud.selection.label.returns_in	Returns in	Вернётся через
hud.selection.label.saplings	Saplings	Саженцы
hud.selection.label.scouts	Scouts	Разведчики
hud.selection.label.shoal	Shoal	Косяк
hud.selection.label.sources	Sources	Источники
hud.selection.label.span	Span	Пролёт
hud.selection.label.stage	Stage	Возраст
hud.selection.label.start_cell	Start cell	Начальная клетка
hud.selection.label.state	State	Состояние
hud.selection.label.stock	Stock	Запас
hud.selection.label.trunks	Trunks	Стволы
hud.selection.label.use	Use	Назначение
hud.selection.label.walk_build	Walk / Build	Проход / строительство
hud.selection.label.warmth	Warmth	Тепло
hud.selection.label.water	Water	Вода
hud.selection.label.workers	Workers	Работники
hud.selection.label.yield	Yield	Добыча
hud.selection.section.assigned_builders	Assigned Builders	Назначенные строители
hud.selection.section.construction_stock	Construction Stock	Запас стройматериалов
hud.selection.section.delivered_materials	Delivered Materials	Доставленные материалы
hud.selection.section.demolition	Demolition	Снос
hud.selection.section.expedition	Expedition	Экспедиция
