Key	English	Russian
literal.5dd90efc0e4a53a5	tending household	занимается хозяйством
literal.8e4a18b0f480e340	sleeping at home	спит дома
literal.5d5a27881b684a7e	inside home	находится дома
literal.4f32647aac90e8ca	going home	идёт домой
literal.82c56288cdaf6dc9	going to campfire	идёт к костру
literal.835ed90bd283f256	leaving settlement	покидает поселение
literal.b3c5abb54d58d8f4	lighting campfire	разжигает костёр
literal.c8c1558522565716	sleeping by campfire	спит у костра
literal.eddef30bab1ad68f	working garden beds	работает на грядках
literal.2596929684c4770d	going to garden beds	идёт к грядкам
literal.6b01015dcad832b8	going foraging	идёт собирать пищу
literal.3be326b5186360ca	gathering food	собирает пищу
literal.99494bc34ffb2925	recovering dropped food	идёт за брошенной пищей
literal.93b9afe08c280933	picking up dropped food	подбирает брошенную пищу
literal.283c35ff2d35cd40	bringing food home	несёт пищу домой
literal.d426929851d4b7fe	storing household food	складывает домашние запасы пищи
literal.7a1fa3fccd5beda9	going to a tree	идёт к дереву
literal.9d355cb1ebf38827	chopping tree	рубит дерево
literal.8c34f9b8c173577c	bucking trunk	разделывает ствол
literal.beca3496d9f28191	going to Logs	идёт к брёвнам
literal.118a525030f48b11	carrying Logs	несёт брёвна
literal.2eb0d8aebc39efa2	depositing Logs	складывает брёвна
literal.69c414b7a6e63221	going for Logs	идёт за брёвнами
literal.8c03501beead50be	picking up Logs	забирает брёвна
literal.692df3e7ef6e9e20	hauling Logs to storage	доставляет брёвна на склад
literal.81304fa6c92a2487	looking for a planting spot	ищет место для посадки
literal.abbc756ac1a1fbad	planting a tree	сажает дерево
literal.79271a06207b252e	going to deposit	идёт к месторождению
literal.02c58c7fa986ad4c	mining Stone	добывает камень
literal.fa052ac362d1cc9d	carrying Stone	несёт камень
literal.00453c8ca9940e36	depositing Stone	складывает камень
literal.76165ede3ab5c189	going to mine	идёт в шахту
literal.b3df5ea465a1dda9	working underground	работает под землёй
literal.1cd83ad0ca1f76f2	going to coal pit	идёт в угольный разрез
literal.aaeb575ae8ac2f41	digging Coal	добывает уголь
literal.643a632d73110194	going to clay pit	идёт в глиняный карьер
literal.016d49e306af1047	digging Clay	добывает глину
literal.c79b8dcc59e6d1bb	going for production input	идёт за сырьём
literal.c9384e5b63ce5744	picking up production input	забирает сырьё
literal.fc47e350f43ccdc0	hauling production input	доставляет сырьё
literal.336178086e5f6688	depositing production input	загружает сырьё
literal.803b503036d05dbf	going to sawmill	идёт на лесопилку
literal.0057cb209368ecc4	on duty at sawmill	дежурит на лесопилке
literal.d0405a126175dd1f	sawing Logs	распиливает брёвна
literal.87997e4b2de0e89e	going to kiln	идёт к обжиговой печи
literal.45940f6d80f76d1d	on duty at kiln	дежурит у обжиговой печи
literal.311760081c9ef381	firing Pottery	обжигает керамику
literal.426f1d359b1bdd17	going to forge	идёт в кузницу
literal.7717f33321c4a1bc	on duty at forge	дежурит в кузнице
literal.bb3b783d5e9387ca	forging Tools	куёт инструменты
literal.ce16797c66f39a4d	going for Stone	идёт за камнем
literal.af5d6ec97dd5cfca	picking up Stone	забирает камень
