Key	English	Russian
first_night.frame.rustle.chapter	THE FIRST DUSK	ПЕРВЫЕ СУМЕРКИ
first_night.frame.rustle.title	A rustle beneath the grain.	Под мешками кто-то шуршал.
first_night.frame.rustle.body	At first it was only a whisper under the sacks. Then a grey shape slipped between the crates, and another followed it into the dark.	Сперва из-под мешков доносился едва слышный шорох. Потом между ящиками мелькнула серая тень — следом в темноту юркнула другая.
first_night.frame.mouse_feast.chapter	THE MIDNIGHT FEAST	ПОЛУНОЧНЫЙ ПИР
first_night.frame.mouse_feast.title	Tiny teeth found our stores.	Крохотные зубы добрались до припасов.
first_night.frame.mouse_feast.body	By moonrise the mice were everywhere. They gnawed at grain, rooted through baskets, and celebrated our first harvest as if we had gathered it for them.	Когда взошла луна, мыши были уже повсюду: грызли зерно, хозяйничали в корзинах и пировали нашим первым урожаем — будто для них его и собирали.
first_night.frame.quiet_hunters.chapter	QUIET HUNTERS	ТИХИЕ ОХОТНИКИ
first_night.frame.quiet_hunters.title	Then green eyes opened by the fire.	У костра вдруг блеснули зелёные глаза.
first_night.frame.quiet_hunters.body	A lean cat stepped from the firelight, silent and entirely at home. The mice had found our stores, but their hunters had found us too. We would be all right.	У костра бесшумно появилась поджарая кошка — с таким видом, словно всегда здесь жила. Мыши добрались до наших запасов, зато следом за ними к нам пришли и охотники. Теперь мы не пропадём.
trash_heap.title	Trash Heap	Гора хлама
trash_heap.body	The Scout stumbled upon an enormous heap of rubbish. Search it?	Разведчик наткнулся на огромную свалку. Порыться среди хлама?
trash_heap.choice.search	Yes, search it	Порыться в хламе
trash_heap.choice.decline	No	Пройти мимо
trash_heap.reward.headline	You found a Holey Spoon	Среди хлама нашлась дырявая ложка
