Key	English	Russian
hud.selection.value.a_caravan_is_travelling_to_this_post	A caravan is travelling to this post.	Караван направляется к этому торговому посту.
hud.selection.value.adult	Adult	Взрослая особь
hud.selection.value.after_departure	after departure	после отбытия
hud.selection.value.alert	Alert	Настороже
hud.selection.value.approaching_discovery	Approaching discovery	Приближается к находке
hud.selection.value.arrives_in	Arrives in	Прибудет через
hud.selection.value.arriving	Arriving	Прибывает
hud.selection.value.attacking	Attacking	Атакует
hud.selection.value.autonomous	Autonomous	Автономно
hud.selection.value.available	Available	Доступно
hud.selection.value.avoiding_settlement	Avoiding settlement	Обходит поселение
hud.selection.value.awaiting_assignment	Awaiting assignment	Ожидает назначения
hud.selection.value.blacksmith	Blacksmith	Кузнец
hud.selection.value.blocked	Blocked	Заблокировано
hud.selection.value.builder	Builder	Строитель
hud.selection.value.camp	Camp	Лагерь
hud.selection.value.caravan	Caravan	Караван
hud.selection.value.caravan_offers_are_open	Caravan offers are open.	Предложения каравана доступны.
hud.selection.value.carcass	Carcass	Туша
hud.selection.value.carp	Carp	Карп
hud.selection.value.caught	Caught	Поймана
hud.selection.value.chasing	Chasing	Преследует добычу
hud.selection.value.charting_frontier	Charting frontier	Разведывает границу
hud.selection.value.child	Child	Ребёнок
hud.selection.value.clay_digger	Clay digger	Добытчик глины
hud.selection.value.coal_miner	Coal miner	Шахтёр-угольщик
hud.selection.value.coal_pit_only	Coal Pit only	Только угольный разрез
hud.selection.value.cold	Cold	Холодно
hud.selection.value.completing_discovery_before_return	Completing discovery before return	Завершает исследование перед возвращением
hud.selection.value.cooling	Cooling	Остывает
hud.selection.value.crow	Crow	Ворона
hud.selection.value.dead	Dead	Погибло
hud.selection.value.delivered	Delivered	Доставлено
hud.selection.value.departing	Departing	Отбывает
hud.selection.value.depleted	Depleted	Истощено
hud.selection.value.dirt	Dirt	Грунт
hud.selection.value.discovery_complete_returning	Discovery complete - returning	Находка исследована — возвращается
hud.selection.value.duck	Duck	Утка
hud.selection.value.eta	ETA	До прибытия
hud.selection.value.expedition_complete_returning	Expedition complete - returning	Экспедиция завершена — возвращается
hud.selection.value.exploring	Exploring	В экспедиции
hud.selection.value.falling	Falling	Падает
hud.selection.value.father	Father	Отец
hud.selection.value.fawn	Fawn	Оленёнок
hud.selection.value.fed	Fed	Сыт
hud.selection.value.feeding	Feeding	Кормится
hud.selection.value.felled	Felled	Срублено
hud.selection.value.female	Female	Самка
hud.selection.value.fishable	Fishable	Доступна для ловли
hud.selection.value.fisher	Fisher	Рыбак
hud.selection.value.fleeing	Fleeing	Убегает
hud.selection.value.flying	Flying	Летит
hud.selection.value.forager	Forager	Собиратель
hud.selection.value.forest	Forest	Лес
hud.selection.value.free	Free	Свободно
hud.selection.value.freezing	Freezing	Замерзает
hud.selection.value.frozen	Frozen	Замёрзло
hud.selection.value.fry	Fry	Малёк
hud.selection.value.gathering	Gathering	Собирает
hud.selection.value.granary_worker	Granary worker	Работник амбара
hud.selection.value.grass	Grass	Трава
hud.selection.value.grazing	Grazing	Пасётся
hud.selection.value.grooming	Grooming	Чистит шерсть
hud.selection.value.growing	Growing	Растёт
hud.selection.value.hit	Hit	Ранено
hud.selection.value.hooked	Hooked	На крючке
hud.selection.value.hopping	Hopping	Прыгает
hud.selection.value.housed	Housed	Есть дом
hud.selection.value.household_food	Household food	Еда для домохозяйств
hud.selection.value.householder	Householder	Хозяин дома
hud.selection.value.howling	Howling	Воет
hud.selection.value.hungry	Hungry	Голодает
hud.selection.value.huntable	Huntable	Доступно для охоты
hud.selection.value.hunted	Hunted	Цель охоты
hud.selection.value.hunter	Hunter	Охотник
hud.selection.value.husband	Husband	Муж
hud.selection.value.idle	Idle	Бездействует
hud.selection.value.inside_coop	Inside coop	В курятнике
hud.selection.value.installed	Installed	Установлено
hud.selection.value.invalid_offer	Invalid offer.	Некорректное предложение.
hud.selection.value.investigating_discovery	Investigating discovery	Исследует находку
hud.selection.value.investigating_point_of_interest	Investigating point of interest	Исследует интересное место
hud.selection.value.kit	Kit	Крольчонок
hud.selection.value.lake	Lake	Озеро
hud.selection.value.landing	Landing	Приземляется
hud.selection.value.leaves_in	Leaves in	Отбудет через
hud.selection.value.locked	Locked	Заблокировано
hud.selection.value.logs_ready	Logs ready	Брёвна готовы
hud.selection.value.lumberjack	Lumberjack	Лесоруб
hud.selection.value.male	Male	Самец
hud.selection.value.mature	Mature	Зрелое
hud.selection.value.meadow	Meadow	Луг
hud.selection.value.mine_only	Mine only	Только шахта
hud.selection.value.mineable	Mineable	Доступно для добычи
